student_id,roll_number,student_name,department,program,batch,section,academic_year,current_semester
S0001,241FA04001,Ekaja Thakkar,DEPT_CSE,B.Tech,2024,CSE-A,2026-27,5
S0002,241FA04002,Udant Salvi,DEPT_CSE,B.Tech,2024,CSE-A,2026-27,5
S0003,241FA04003,Ridhi Khatri,DEPT_CSE,B.Tech,2024,CSE-A,2026-27,5
S0004,241FA04004,Faris Choudhry,DEPT_CSE,B.Tech,2024,CSE-A,2026-27,5
S0005,241FA04005,Guneet Sengupta,DEPT_CSE,B.Tech,2024,CSE-A,2026-27,5
S0006,241FA04006,Vritti Murthy,DEPT_CSE,B.Tech,2024,CSE-A,2026-27,5
S0007,241FA04007,Mekhala Krishnamurthy,DEPT_CSE,B.Tech,2024,CSE-A,2026-27,5
S0008,241FA04008,Ishanvi Puri,DEPT_CSE,B.Tech,2024,CSE-A,2026-27,5
S0009,241FA04009,Harini Chakraborty,DEPT_CSE,B.Tech,2024,CSE-A,2026-27,5
S0010,241FA04010,Bhavna Shankar,DEPT_CSE,B.Tech,2024,CSE-A,2026-27,5
S0011,241FA04011,Dayamai Bakshi,DEPT_CSE,B.Tech,2024,CSE-A,2026-27,5
S0012,241FA04012,Januja Shenoy,DEPT_CSE,B.Tech,2024,CSE-A,2026-27,5
S0013,241FA04013,Gautam Rastogi,DEPT_CSE,B.Tech,2024,CSE-A,2026-27,5
S0014,241FA04014,Jackson Sandal,DEPT_CSE,B.Tech,2024,CSE-A,2026-27,5
S0015,241FA04015,Mitali Vohra,DEPT_CSE,B.Tech,2024,CSE-A,2026-27,5
S0016,241FA04016,Osha Srinivas,DEPT_CSE,B.Tech,2024,CSE-A,2026-27,5
S0017,241FA04017,Udarsh Dayal,DEPT_CSE,B.Tech,2024,CSE-A,2026-27,5
S0018,241FA04018,Harshil Sanghvi,DEPT_CSE,B.Tech,2024,CSE-A,2026-27,5
S0019,241FA04019,Lucky Subramaniam,DEPT_CSE,B.Tech,2024,CSE-A,2026-27,5
S0020,241FA04020,Jairaj Shan,DEPT_CSE,B.Tech,2024,CSE-A,2026-27,5
S0021,241FA04021,Zayan Ratti,DEPT_CSE,B.Tech,2024,CSE-A,2026-27,5
S0022,241FA04022,Yachana Srinivas,DEPT_CSE,B.Tech,2024,CSE-A,2026-27,5
S0023,241FA04023,Rachita Jain,DEPT_CSE,B.Tech,2024,CSE-A,2026-27,5
S0024,241FA04024,Amruta Andra,DEPT_CSE,B.Tech,2024,CSE-A,2026-27,5
S0025,241FA04025,Mason Shanker,DEPT_CSE,B.Tech,2024,CSE-A,2026-27,5
S0026,241FA04026,Jagvi Iyengar,DEPT_CSE,B.Tech,2024,CSE-A,2026-27,5
S0027,241FA04027,Vedika Shukla,DEPT_CSE,B.Tech,2024,CSE-A,2026-27,5
S0028,241FA04028,Radha Bandi,DEPT_CSE,B.Tech,2024,CSE-A,2026-27,5
S0029,241FA04029,Edhitha Shankar,DEPT_CSE,B.Tech,2024,CSE-A,2026-27,5
S0030,241FA04030,Raksha Varma,DEPT_CSE,B.Tech,2024,CSE-A,2026-27,5
S0031,241FA04031,Sneha Goswami,DEPT_CSE,B.Tech,2024,CSE-A,2026-27,5
S0032,241FA04032,Varenya Bhatt,DEPT_CSE,B.Tech,2024,CSE-A,2026-27,5
S0033,241FA04033,Wishi Prabhakar,DEPT_CSE,B.Tech,2024,CSE-A,2026-27,5
S0034,241FA04034,Robert Sabharwal,DEPT_CSE,B.Tech,2024,CSE-A,2026-27,5
S0035,241FA04035,Shivani Atwal,DEPT_CSE,B.Tech,2024,CSE-A,2026-27,5
S0036,241FA04036,Aadi Seth,DEPT_CSE,B.Tech,2024,CSE-A,2026-27,5
S0037,241FA04037,Rushil Kota,DEPT_CSE,B.Tech,2024,CSE-A,2026-27,5
S0038,241FA04038,Chaitanya Loyal,DEPT_CSE,B.Tech,2024,CSE-A,2026-27,5
S0039,241FA04039,Mohammed Ahluwalia,DEPT_CSE,B.Tech,2024,CSE-A,2026-27,5
S0040,241FA04040,Vyanjana Deshmukh,DEPT_CSE,B.Tech,2024,CSE-A,2026-27,5
S0041,241FA04041,Urvashi Deep,DEPT_CSE,B.Tech,2024,CSE-A,2026-27,5
S0042,241FA04042,Frado Sahni,DEPT_CSE,B.Tech,2024,CSE-A,2026-27,5
S0043,241FA04043,Krishna Mohan,DEPT_CSE,B.Tech,2024,CSE-A,2026-27,5
S0044,241FA04044,Madhavi Dixit,DEPT_CSE,B.Tech,2024,CSE-A,2026-27,5
S0045,241FA04045,Krisha Atwal,DEPT_CSE,B.Tech,2024,CSE-A,2026-27,5
S0046,241FA04046,Lopa Borah,DEPT_CSE,B.Tech,2024,CSE-A,2026-27,5
S0047,241FA04047,Idika Pandit,DEPT_CSE,B.Tech,2024,CSE-A,2026-27,5
S0048,241FA04048,Atharv Uppal,DEPT_CSE,B.Tech,2024,CSE-A,2026-27,5
S0049,241FA04049,Falak Mitter,DEPT_CSE,B.Tech,2024,CSE-A,2026-27,5
S0050,241FA04050,Eshana Dara,DEPT_CSE,B.Tech,2024,CSE-A,2026-27,5
S0051,241FA04051,Unnati Garde,DEPT_CSE,B.Tech,2024,CSE-B,2026-27,5
S0052,241FA04052,Zinal Jhaveri,DEPT_CSE,B.Tech,2024,CSE-B,2026-27,5
S0053,241FA04053,Gayathri Shanker,DEPT_CSE,B.Tech,2024,CSE-B,2026-27,5
S0054,241FA04054,Ekaraj Rastogi,DEPT_CSE,B.Tech,2024,CSE-B,2026-27,5
S0055,241FA04055,Rohan Ghose,DEPT_CSE,B.Tech,2024,CSE-B,2026-27,5
S0056,241FA04056,Chanakya Seth,DEPT_CSE,B.Tech,2024,CSE-B,2026-27,5
S0057,241FA04057,Veda Bahri,DEPT_CSE,B.Tech,2024,CSE-B,2026-27,5
S0058,241FA04058,Tejas Varughese,DEPT_CSE,B.Tech,2024,CSE-B,2026-27,5
S0059,241FA04059,Naveen Grewal,DEPT_CSE,B.Tech,2024,CSE-B,2026-27,5
S0060,241FA04060,Anjali Sandal,DEPT_CSE,B.Tech,2024,CSE-B,2026-27,5
S0061,241FA04061,Farhan Rajagopal,DEPT_CSE,B.Tech,2024,CSE-B,2026-27,5
S0062,241FA04062,Rachit Padmanabhan,DEPT_CSE,B.Tech,2024,CSE-B,2026-27,5
S0063,241FA04063,Adya Shetty,DEPT_CSE,B.Tech,2024,CSE-B,2026-27,5
S0064,241FA04064,Ojasvi Mani,DEPT_CSE,B.Tech,2024,CSE-B,2026-27,5
S0065,241FA04065,Peter Nanda,DEPT_CSE,B.Tech,2024,CSE-B,2026-27,5
S0066,241FA04066,Sai Dar,DEPT_CSE,B.Tech,2024,CSE-B,2026-27,5
S0067,241FA04067,Girindra Kala,DEPT_CSE,B.Tech,2024,CSE-B,2026-27,5
S0068,241FA04068,Abdul Chander,DEPT_CSE,B.Tech,2024,CSE-B,2026-27,5
S0069,241FA04069,Ganga Reddy,DEPT_CSE,B.Tech,2024,CSE-B,2026-27,5
